x,y,z
231.98081200409945,214.08429690991113,c
256.4445908219656,269.66494166943005,c
208.47172051626055,309.791188069253,c
241.25748842871644,331.1872435136513,c
203.46810565802855,300.0698338911176,c
252.011888664043,328.0698594864034,c
258.9368345831216,277.96400116098374,c
277.41598876627046,319.93770460712574,c
277.43838454088683,365.9801633218632,c
294.858921941016,282.90767131635425,c
328.9429118719968,283.6831194665664,c
325.7814337592434,297.1789819383951,c
329.05027681661835,306.22699007107235,c
356.3629695086937,275.25228573254424,c
388.03038085335857,265.55467923107847,c
491.7933699196415,291.1113959051969,c
502.3451655057243,265.008569736365,c
513.2120722539937,276.60397832868307,c
511.95387087811207,277.86020765076296,c
567.6653620412733,262.95107254317224,c
522.9973126825867,263.40644197958613,c
163.3777672988127,331.6784274441455,c
189.79997825112855,309.5966905203089,c
148.8830622642925,253.52620910504356,c
169.0770651645015,312.21994753529884,c
176.90259833115005,282.298175691787,c
220.63318575689993,291.71524823775803,c
235.06650107863643,279.51270199951307,c
294.08868367227774,258.2657413018501,c
302.31439543439194,285.37830441053774,c
355.55649332112387,288.250461256137,c
369.8987809174672,303.0650999967065,c
375.578886422611,284.4079856495835,c
372.8331452229824,270.05985455863555,c
411.7384604895309,311.45767748720175,c
397.00607633419617,317.97624773564394,c
428.64269910346974,287.86252715588336,c
445.7443261907764,322.71750109095177,c
416.07071543405743,299.79573034496696,c
438.5708605233529,289.0249610640077,c
439.67127658102487,275.390571356866,c
404.55188800507295,295.97464454193477,c
472.8062717274143,290.4101972264307,c
485.59504418476274,277.39891402547664,c
502.7373939151203,328.2800595698873,c
493.0227259174627,295.40103490719525,c
517.2901807879108,267.2479923014927,c
534.4310269751617,270.89570137492524,c
485.0391743884468,265.9029368620921,c
509.30705930118705,302.53585991726067,c
541.706878762904,267.43201164426284,c
589.8571843896224,261.07278602422923,c
547.1506487412639,291.3744090225447,c
581.8366523353072,236.49621529300254,c
594.1418802412902,300.87681215114367,c
557.1123615971012,275.17696679194626,c
576.7583675213788,283.96113449603416,c
534.7142925568304,245.27024835153534,c
556.9660242209934,314.5605352497809,c
547.1425177951963,246.20111923814449,c
550.5768830511071,261.8330269143547,c
484.09273457165705,254.80768380531356,c
485.07100931479977,345.72576228960224,c
407.71201711802826,284.45573344076644,c
347.8474241493015,269.2558358812275,c
374.1313676901775,284.433343133308,c
292.11571288559657,260.95626300750325,c
304.5480379812855,243.94351539700256,c
286.31587496309453,272.71554505899945,c
242.8967702216675,314.8923622336807,c
278.0013591046861,244.5711170205215,c
235.9872542081299,351.00082340575136,c
288.2857758519776,280.85510555059074,c
230.25949282817845,247.5688264286329,c
233.5832834505852,286.7197752590312,c
247.00540412254992,297.28090582789173,c
167.66175311213254,290.68973310488207,c
196.68059529988585,256.7905570063964,c
222.4032037011626,230.24766521489857,c
208.26795625866288,265.22203406186304,c
247.9494049232397,273.4820169379519,c
218.7222652045049,275.10871832097587,c
221.37509392134035,316.79640680086516,c
237.5057108083922,318.8874667193478,c
363.1660889108775,300.0629360201211,c
471.65536403688975,268.8178669773831,c
504.25673474188403,268.8861051738753,c
538.9844564070196,295.86603669424284,c
560.990709977909,272.46360763410314,c
586.1021333741236,291.2165101313934,c
572.7879349079635,306.41350406191356,c
533.6085145461553,283.993832509989,c
524.6796384422988,304.24452091710185,c
533.5466239199536,267.9852080619838,c
560.4170413173299,301.544893261532,c
470.52277965431693,310.91176875775477,c
460.39123669429273,318.5202595256534,c
406.0326582115864,299.95434326757015,c
403.1489435811775,271.89446644453477,c
