x,y,z
143.814734705125,354.58784293835555,a
140.35100898908374,327.8312816436329,a
230.60543244669125,348.94486685577,a
272.4167712742754,292.0872590645809,a
262.64946305096527,334.6340541333982,a
311.4785858285493,329.478095566536,a
375.50623554601685,345.9881197064665,a
455.5918974282584,317.4699546952892,a
444.6300142694057,345.9559303696198,a
523.0598491358978,303.124358733755,a
575.4401721572893,320.5596141101677,a
619.1963885278772,298.47870186690375,a
690.3739497663361,327.69486854649017,a
673.157305005994,366.7900489462146,a
647.404848315252,320.90871925927934,a
726.6878153093327,303.0611898702953,a
697.7208643370026,357.1633358853727,a
691.2301536258556,337.6032860322109,a
691.1540167027973,334.03959741003194,a
708.5603770022725,347.2902599698183,a
664.0318963313179,342.178317870129,a
657.2279991798006,314.5782960982483,a
714.1775853992577,352.9168654482362,a
672.7566966122091,335.6586295215708,a
604.4160133336528,370.84845006846757,a
589.8077592551538,313.1500344721526,a
587.7194524312728,309.746870121936,a
526.1120683158722,350.23308493403766,a
481.8749811520876,363.79513244760307,a
442.77154116284726,283.53703325031955,a
411.8794714020382,346.85176226328576,a
357.9017210375596,343.52346915576373,a
271.85034958792306,316.35005156658696,a
289.48638470890137,342.02667452368394,a
194.304660288802,322.0380090146813,a
196.34114914801876,311.2733608544285,a
100.66207799942319,326.448926041228,a
98.44839181324778,344.96292627915534,a
78.09380720377757,301.29712528975057,a
116.61127321252407,300.21622469999716,a
79.18489049582946,345.18493272693956,a
1.976944597412185,329.9022862244527,a
43.93170638481323,330.97713208652203,a
17.081071587981924,315.734577194028,a
-11.074010930463817,312.13580027767614,a
-13.957047879592231,341.256065600582,a
-27.136732935809043,296.3920111168917,a
21.787299105652426,320.93747873103615,a
61.46852730946587,359.04177748259974,a
161.14043109750585,337.1227061035761,a
146.45691410813228,358.5757676258081,a
217.6958696350249,363.1657422909451,a
234.89611575353572,367.2880443382679,a
296.3449083807248,379.840548335929,a
300.5790329504,357.00721528399674,a
329.7615389845917,346.07881243469467,a
384.26805075022617,364.04657218567263,a
448.1884793396628,368.2190559843111,a
496.81435852637776,356.10394326623515,a
481.2225250998252,377.4400991719326,a
600.742774323928,375.7592964311184,a
564.999250331266,378.230369321111,a
507.13314382372613,372.65584021540485,a
604.258563300338,349.12489633474854,a
567.8793994560589,338.31308351222356,a
567.6964899571147,384.4209448736644,a
580.6781554042769,344.27972396122925,a
548.3140872971516,325.5656085381272,a
535.1506302260362,341.4271502247657,a
476.9417520725329,323.96466617015733,a
486.90578729756953,307.29539159180365,a
482.645136954205,367.5621091391203,a
380.67869337339783,370.3126537624108,a
333.3844135392124,289.2795859762248,a
